Eine Tassse Kaffe,125ml Wasser 7g Kaffee,74.9,null
Avocado,200g,100,null
Banane,150g,195,null
gekauftes Wasser,pro liter,210,null
Kokosmilch,350g,190,null,null
Leitungswasser,pro liter,0.35,null
Reis,25g,80,null
Butter,250g,2300,null
Gemüsebrühe,200g,300,null
Nudeln,100g,50,null
Hänchen,150g,550,null
Rind steak,150g,1840,null
Schwein,150g,620,null
Käse,250g,1460,null
Erdnüsse,100g,70,null
Tofu,100g,170,null
Lachs,100g,630,null
